baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_symbols,gene_entrezid,gene_mgi
0.16485600460543468,-0.024266950669339066,0.6014427072810591,0.8537688666730125,NA,Rp1,19888,MGI:MGI:1341105
0.3355431231585098,-7.344327381505622e-4,0.5989206428219558,0.9733674561944082,NA,Sox17,20671,MGI:MGI:107543
477.6014474462347,0.26066414239194197,0.11808224755284501,0.024161016805066958,0.06032258371173526,NA,NA,NA
689.5544219031972,0.15637609686293855,0.10082315727409209,0.11598357948266153,0.22472927657356354,Mrpl15,27395,MGI:MGI:1351639
3002.5346426428323,0.21620623178518655,0.06506009965715664,8.370804810036544e-4,0.0030324069978981995,Lypla1,18777,MGI:MGI:1344588
888.686092901569,-0.053278619494947124,0.09459580005899977,0.5699450826311763,0.7286656966039131,Tcea1,21399,MGI:MGI:1196624
18.376662005401855,0.2735704913245546,0.44490712304464536,0.38569323603367284,0.5604881460361464,NA,NA,NA
0.15939538574174897,0.023752486408252945,0.6012451352066349,0.803198344392656,NA,NA,NA,NA
0.15795740454300544,-0.02425588242376071,0.601444405777141,0.8537610393113703,NA,Gm16041,102631647,MGI:MGI:3801909
1106.2508253775022,0.19822283688833187,0.08904430407938892,0.02462230197359241,0.06129300641530748,Atp6v1h,108664,MGI:MGI:1914864
1.7766425476492085,-0.1359363562181176,0.6086278938499907,0.24287083257657466,0.4002097770006592,Oprk1,18387,MGI:MGI:97439
0.15280093944709142,-0.024164230699072305,0.6014385746576749,0.8523752006024395,NA,Npbwr1,226304,MGI:MGI:891989
3435.6207394153894,0.029603448244556404,0.06551113167091697,0.6649044243532308,0.8006038127790295,Rb1cc1,12421,MGI:MGI:1341850
28.290176425945315,-0.17334501654374176,0.37912647195770033,0.5561503972429631,0.7173510653125131,NA,NA,NA
0.15939538574174897,0.023752486408252945,0.6012451352066349,0.803198344392656,NA,NA,NA,NA
0.5030785745996177,-0.02480602239343563,0.598393331689347,0.8386017456631685,NA,St18,240690,MGI:MGI:2446700
1538.762810327008,-0.4680146035824467,0.07886368282457659,2.009315567064739e-9,1.5903194503790516e-8,Pcmtd1,319263,MGI:MGI:2441773
0.7929671388802859,-0.0816452765496631,0.6009617592958312,0.5031762776832464,NA,NA,NA,NA
36.07776046652624,0.20036116800318896,0.35493936834712747,0.4866568316847132,0.6582233502653546,NA,NA,NA
3.2769394895255295,0.018452069730829187,0.5576220589352068,0.9285252861343125,0.9622296468245983,NA,NA,NA
1.3279256082725597,0.057376672802566704,0.5997567080988839,0.3940903888184696,NA,NA,NA,NA
165.37849151623115,0.5206161894253614,0.19602289168817258,0.004831270762296431,0.014785706774512934,NA,NA,NA
2.645952392853191,-0.03046727664933446,0.5666108148923343,0.8626319643714756,0.9249818890919099,NA,NA,NA
537.4475188175782,0.04318472976720724,0.1144052534284717,0.7033689978434569,0.8267379734355631,Rrs1,59014,MGI:MGI:1929721
3.463530331379749,-0.052182484056681015,0.5491666061871,0.8162738649896786,0.897635030940742,Adhfe1,76187,MGI:MGI:1923437
0.16485600460543468,-0.024266950669339066,0.6014427072810591,0.8537688666730125,NA,2610203C22Rik,72481,MGI:MGI:1919731
5.167110232343302,0.08133514979464995,0.5389232777248077,0.7347221036182082,0.8473775809944845,Gm6161,620542,MGI:MGI:3644104
163.2494673410757,0.7866605139474113,0.19907689656504382,2.987549579397893e-5,1.41469728881264e-4,Mybl1,17864,MGI:MGI:99925
3111.9942580527277,0.10580737633973059,0.060910843081551695,0.08460685539928008,0.17336973409313874,Vcpip1,70675,MGI:MGI:1917925
2.293222903038227,0.38568007277083083,0.7810345083392859,0.0202769542523712,0.05160639132074203,NA,NA,NA
197.57729206100373,0.6080462655154536,0.18259062459094896,4.5420449590353074e-4,0.0017373444461431923,Sgk3,170755,MGI:MGI:2182368
14.19863438190063,0.101317404544359,0.4578700447121158,0.7346672011525599,0.8473775809944845,Gm6195,108167613,MGI:MGI:3647661
1.4037368816872093,0.07547448301873479,0.6010675508146015,0.3747344783187611,0.549290414726194,Mcmdc2,240697,MGI:MGI:3045334
412.3283289424765,-0.3709243815003509,0.1321039606067964,0.003898629142605489,0.012222598774403662,Snhg6,73824,MGI:MGI:1921074
11.315254833799466,-0.24129759408942894,0.5105455264609138,0.42149500717252164,0.5973846816021773,Snord87,266793,MGI:MGI:2387894
0.15939538574174897,0.023752486408252945,0.6012451352066349,0.803198344392656,NA,Ppp1r42,69312,MGI:MGI:1921138
1293.7301615785861,0.2502306105473984,0.07863699704106432,0.0013152109949587931,0.0045819170229169665,Cops5,26754,MGI:MGI:1349415
1361.7507550387904,0.07341774941132148,0.07891600369258064,0.3494616692785959,0.5233659346714163,Cspp1,211660,MGI:MGI:2681832
6174.884454611458,-0.44887836477268395,0.05176602258175092,3.3057842594011575e-18,4.843656953299432e-17,Arfgef1,211673,MGI:MGI:2442988
10.495507097192725,0.27438781547600566,0.5169757858017853,0.37682500845349015,0.5512153939663306,NA,NA,NA
0.5079723766781001,0.0016107943240809657,0.6003488932792925,0.9322992282870515,NA,Gm15603,102636010,MGI:MGI:3783050
0.15795740454300544,-0.02425588242376071,0.601444405777141,0.8537610393113703,NA,Prex2,109294,MGI:MGI:1923385
3.020679889826897,0.012469327753511587,0.5615923007927317,0.9473562987064951,0.9722700987088765,NA,NA,NA
0.3424417232209391,-0.001180150168268196,0.5999668739263636,0.975091974782378,NA,Sulf1,240725,MGI:MGI:2138563
23.58460529173005,1.655747441257289,0.5724934423375686,3.6507543746425555e-4,0.0014249930196711278,Slco5a1,240726,MGI:MGI:2443431
